"slug";"name";"website";"country";"city";"ror";"lat";"lon";"type";"is_tenant";"software_count";"project_count";"logo"
"european-molecular-biology-laboratory";"European Molecular Biology Laboratory";"http://www.embl-hamburg.de/";"Germany";"Hamburg";"https://ror.org/050589e39";53.55073;9.99302;"Government";"no";0;0;"https://research-software-directory.org/image/rpc/get_image?uid=73647722bb08a3fdce51b04d63eae942b7916ded"
"walter-and-duncan-gordon-foundation";"Walter and Duncan Gordon Foundation";"http://gordonfoundation.ca/";"Canada";"Toronto";"https://ror.org/02gvqsb68";43.70011;-79.4163;"Nonprofit";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=2b562ce0c4309020ee4ae43986e6836ed280fb20"
"universite-de-sherbrooke";"Université de Sherbrooke";"http://www.usherbrooke.ca/";"Canada";"Sherbrooke";"https://ror.org/00kybxq39";45.40008;-71.89908;"Education";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=54a562656396f6207c004c5e5064718fd224b38a"
"netherlands-environmental-assessment-agency";"Netherlands Environmental Assessment Agency";"http://www.pbl.nl/en/";"Netherlands";"The Hague";"https://ror.org/052x1hs80";52.07667;4.29861;"Facility";"no";1;2;"https://research-software-directory.org/image/rpc/get_image?uid=7c488637f6f641cd42642b293810eacfcfa2b756"
"openms";"OpenMS";"https://www.openms.de/";"International";;;;;;"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=86ff6d797aaad8d1210292763fd537c341d66621"
"dlr";"DLR";"https://www.dlr.de";"Germany";"Cologne";"https://ror.org/04bwf3e34";50.93333;6.95;"Facility";"no";4;3;"https://research-software-directory.org/image/rpc/get_image?uid=7cfc6dabdcb79a03eecfbb02ebb8158927362fea"
"enexis";"Enexis";"https://www.enexis.nl/";;;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=d2078db06fc750371a4c66217dbbc4e3110c137b"
"tata-memorial-centre";"Tata Memorial Centre";;"India";"Mumbai";"https://ror.org/010842375";19.07283;72.88261;"Healthcare";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=297a92efde2a2e3194d020c15e42931a02120193"
"ocean-networks-canada-society";"Ocean Networks Canada Society";"http://www.oceannetworks.ca/";"Canada";"Victoria";"https://ror.org/05gknh003";48.4359;-123.35155;"Facility";"no";4;0;"https://research-software-directory.org/image/rpc/get_image?uid=062e4e7cd2d51a5f8921f6719da984fa3bf2f541"
"atomic-energy-and-alternative-energies-commission";"Atomic Energy and Alternative Energies Commission";"http://www.cea.fr/";"France";"Paris";"https://ror.org/00jjx8s55";48.85341;2.3488;"Government";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=f68ddbd97a0b738bf02640b1e655756449f5359d"
"nizo";"NIZO";;"Netherlands";"Ede";"https://ror.org/05ddg7v64";52.052118;5.662516;"Facility";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=332821ced21ea70b1aaf60f70b5587743d90908a"
"netherlands-institute-for-sound-and-vision";"Netherlands Institute for Sound and Vision";"http://www.beeldengeluid.nl/";"Netherlands";"Hilversum";"https://ror.org/025ae8628";52.22333;5.17639;"Archive";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=42a6976bca4d2dfa6ba7e57476ddf0c63b72726b"
"tennet-tso";"TenneT TSO";"https://www.tennet.eu/";"Netherlands";"Arnhem";"https://ror.org/02dyts510";51.98;5.91111;"Company";"no";0;3;"https://research-software-directory.org/image/rpc/get_image?uid=cdf4501499a84a01d740dcf6fe3805607161aacc"
"liacs-leiden-university";"LIACS, Leiden University";"https://liacs.leidenuniv.nl/";"Netherlands";;;;;;"no";0;0;"https://research-software-directory.org/image/rpc/get_image?uid=76c5d32c8f5b7c4d0bb2893495d8fcc918dfdf7b"
"maastro";"Maastro";;"Netherlands";"Maastricht";"https://ror.org/059wkzj26";50.836296;5.715083;"Healthcare";"no";1;4;"https://research-software-directory.org/image/rpc/get_image?uid=bf4a0c74bcf8e14441ae5235bf03325a39748e4b"
"latest-thinking";"Latest Thinking";"https://lt.org/";"Germany";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=4ad3d9323021155dfbbe1bac8b6e0eb7400c75b0"
"university-of-potsdam";"University of Potsdam";"https://www.uni-potsdam.de/en/";"Germany";"Potsdam";"https://ror.org/03bnmw459";52.39886;13.06566;"Education";"no";3;1;"https://research-software-directory.org/image/rpc/get_image?uid=2fbc100a09b95d648d653170095ae4fda01c3672"
"royal-haskoningdhv";"Royal HaskoningDHV";;"Netherlands";"Amersfoort";"https://ror.org/020v32r42";52.1331569;5.3667083;"Company";"no";0;2;"https://research-software-directory.org/image/rpc/get_image?uid=a06a48c46023ee3f2a7a68b81f55586abe0731b4"
"icos-central-analytical-laboratories";"Central Analytical Laboratories";"https://www.icos-cal.eu/";;;;;;;"no";0;0;
"amsterdam-university-medical-centers";"Amsterdam University Medical Centers";"https://www.amsterdamumc.org";"Netherlands";"Amsterdam";"https://ror.org/05grdyy37";52.37403;4.88969;"Healthcare";"yes";2;3;"https://research-software-directory.org/image/rpc/get_image?uid=6f3020f3ffe6dd3e16898c1f3da9c5dd522cfd57"
"scripps-research-institute";"Scripps Research Institute";"http://www.scripps.edu/";"United States";"San Diego";"https://ror.org/02dxx6824";32.71571;-117.16472;"Nonprofit";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=a62621811bf19bf99d092e11c061a923f155aea1"
"universitat-greifswald";"Universität Greifswald";"https://www.uni-greifswald.de";"Germany";"Greifswald";"https://ror.org/00r1edq15";54.09311;13.38786;"Education";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=79d071383a5263a7d6a745fd021b1f18d5083108"
"meopar-incorporated";"MEOPAR Incorporated";"https://meopar.ca";"Canada";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=0fc835b9f0757c0b37c56a46f5144634b69e6f8d"
"phortos";"Phortos";;"Netherlands";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=65f2898a4687bae6bfb0f17789b42ca75fc58672"
"ouranos";"Ouranos";"http://ouranos.ca/en/";"Canada";"Montreal";"https://ror.org/0565gth98";45.506339;-73.572411;"Nonprofit";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=c4fa19105db00106d832ce35f58a834012eb19e1"
"new-zealand-escience-infrastructure";"New Zealand eScience Infrastructure (NeSI)";"https://www.nesi.org.nz/";"New Zealand";"Auckland";"https://ror.org/037aan677";-36.856079;174.766553;"Facility";"yes";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=867cf00ce5c02802d916de13d44dede1d29021b6"
"massachusetts-university-of-technology";"Massachusetts University of Technology";;"United States";"Cambridge";"https://ror.org/042nb2s44";42.3751;-71.10561;"Education";"no";1;1;"https://research-software-directory.org/image/rpc/get_image?uid=e7affd1d3b03f5c26f3aa0c942792bcf9b6f1ae0"
"naco";"NaCo";"https://naco.liacs.nl/";;;;;;;"no";3;1;"https://research-software-directory.org/image/rpc/get_image?uid=75f03aa6ce9335e0325162830dd88d234a35128d"
"technical-university-of-denmark";"Technical University of Denmark";"http://www.dtu.dk/english";"Denmark";"Kongens Lyngby";"https://ror.org/04qtj9h94";55.77044;12.50378;"Education";"no";1;2;"https://research-software-directory.org/image/rpc/get_image?uid=7e06cdeffd5cfefb3a52367b929987a8caf2dcd3"
"university-of-leicester";"University of Leicester";"https://le.ac.uk";"United Kingdom";"Leicester";"https://ror.org/04h699437";52.6386;-1.13169;"Education";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=498bfc61ddfc40a53f12bc57a0ae8cf0b3082c28"
"birds-canada";"Birds Canada";"https://www.oiseauxcanada.org/";"Canada";;;;;;"no";2;0;"https://research-software-directory.org/image/rpc/get_image?uid=4494bd9ca154c00c4e0c5cc66f9957c3f15456bd"
"yonsei-university";"Yonsei University";"http://www.yonsei.ac.kr/eng/";"South Korea";"Seoul";"https://ror.org/01wjejq96";37.566;126.9784;"Education";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=d5fb1a92e91af4c077a0f8ad704a7617b5e65aae"
"university-of-victoria";"University of Victoria";"http://www.uvic.ca/";"Canada";"Victoria";"https://ror.org/04s5mat29";48.4359;-123.35155;"Education";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=1dc7c646de4db17eb2f655d8c7abbd414c15e3c8"
"intel-india";"Intel (India)";"http://www.intel.in/";"India";"Bengaluru";"https://ror.org/04f2n1245";12.926928;77.684336;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=86bf4b4c9232fc3eac048fa5dcdeb531cb24b134"
"cat4smr";"CAT4SMR";"https://cat4smr.humanities.uva.nl";;;;;;;"no";2;0;"https://research-software-directory.org/image/rpc/get_image?uid=26e005dddb4ca712defeee774272beec0bebe8c4"
"wageningen-university-research";"Wageningen University & Research";"https://www.wur.nl/";"Netherlands";"Wageningen";"https://ror.org/04qw24q55";51.97;5.66667;"Education";"yes";17;24;"https://research-software-directory.org/image/rpc/get_image?uid=f224bb38ae127f8ef4c9f360824c6262cf335500"
"university-of-reading";"University of Reading";"http://www.reading.ac.uk/";"United Kingdom";"Reading";"https://ror.org/05v62cm79";51.45625;-0.97113;"Education";"no";3;3;"https://research-software-directory.org/image/rpc/get_image?uid=e71be5ef02ad80aa01e4e99d3bbd3372ac5dc882"
"carbon-portal";"Carbon Portal";"https://www.icos-cp.eu";;;;;;;"no";0;0;
"university-of-edinburgh";"University of Edinburgh";"https://www.ed.ac.uk/";"United Kingdom";"Edinburgh";"https://ror.org/01nrxwf90";55.95206;-3.19648;"Education";"no";0;2;"https://research-software-directory.org/image/rpc/get_image?uid=6551e0b7aca7b6846787c05853ee987966d93df1"
"university-of-applied-sciences-utrecht";"University of Applied Sciences Utrecht";"http://www.english.hu.nl/";"Netherlands";"Utrecht";"https://ror.org/028z9kw20";52.09083;5.12222;"Education";"no";0;2;"https://research-software-directory.org/image/rpc/get_image?uid=f5430ffc153964c8b8ec2e25d11b414451e25364"
"tata-steel";"TATA Steel";"https://www.tatasteeleurope.com/";"Netherlands";"Velsen";"https://ror.org/00925cq50";51.629084;4.87641;"Company";"no";0;3;"https://research-software-directory.org/image/rpc/get_image?uid=d95abb732f2636293f797de9bfd1b19de4176e71"
"university-of-connecticut-health-center";"University of Connecticut Health Center";"http://www.uchc.edu/";"United States";"Farmington";"https://ror.org/02kzs4y22";41.71982;-72.83204;"Healthcare";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=12fbf6ea0673fad3b8f1d658ece3cd4cb18bf783"
"dnv-gl";" DNV GL";"https://www.dnv.com/";"Netherlands";"Rotterdam";"https://ror.org/004r4ve77";51.9225;4.47917;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=ac23ab670dd4743197ebf8ef0dea437699fc0582"
"virginia-tech";"Virginia Tech";;"United States";"Blacksburg";"https://ror.org/02smfhw86";37.22957;-80.41394;"Education";"no";1;1;"https://research-software-directory.org/image/rpc/get_image?uid=54537afcc0fb4b3078c643d9918a7daf9888f864"
"dnv-gl-norway";"DNV GL (Norway)";"https://www.dnvgl.com/";"Norway";"Sandvika";"https://ror.org/04c235406";59.89073;10.52774;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=fac96b467f872414e72295f52408a5261ab7046f"
"averis-seeds";"Averis Seeds";;"Netherlands";"Veendam";"https://ror.org/011v4dm73";53.1065549;6.8695241;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=4df4e6e767a61d1b893f5cb163f7af224f5fa8d6"
"university-of-southampton";"University of Southampton";"http://www.southampton.ac.uk/";"United Kingdom";"Southampton";"https://ror.org/01ryk1543";50.90395;-1.40428;"Education";"no";1;1;"https://research-software-directory.org/image/rpc/get_image?uid=5cec988c3382da1de561f79aa94e830d419183a4"
"gsi-helmholtz-centre-for-heavy-ion-research";"GSI Helmholtz Centre for Heavy Ion Research";"https://www.gsi.de/";"Germany";"Darmstadt";"https://ror.org/02k8cbn47";49.87167;8.65027;"Facility";"yes";0;0;"https://research-software-directory.org/image/rpc/get_image?uid=cc37c885d9b6d3d5ab4a4bf375b0f42d3cd32a05"
"ministry-of-health-welfare-and-sport";"Ministry of Health Welfare and Sport";"http://www.government.nl/ministries/vws";"Netherlands";"The Hague";"https://ror.org/041evnj42";52.07667;4.29861;"Government";"no";0;5;"https://research-software-directory.org/image/rpc/get_image?uid=cc5f8b9b61f1db13b707aed27aa51fefe07d157e"
"islandora-foundation";"Islandora Foundation";"https://www.islandora.ca/";"Canada";;;;;;"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=cc0d969fab827b1c908ca3918dd81a05d68acb64"
"university-of-geneva";"University of Geneva";"https://www.unige.ch/";"Switzerland";"Geneva";"https://ror.org/01swzsf04";46.20222;6.14569;"Education";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=d9d2c35d78e4c9bb4fc9bcda1977998da08f012e"
"deltares";"Deltares";"http://www.deltares.nl";"Netherlands";"Delft";"https://ror.org/01deh9c76";52.00667;4.35556;"Facility";"no";1;7;"https://research-software-directory.org/image/rpc/get_image?uid=a76775082c8e784b4174b8102c45426624175ad6"
"jhu";"JHU";"https://www.jhu.edu";"United States";"Baltimore";"https://ror.org/00za53h95";39.29038;-76.61219;"Education";"no";0;0;
"institut-catala-de-ciencies-del-clima";"Institut Català de Ciències del Clima";"http://www.ic3.cat/";"Spain";"Barcelona";"https://ror.org/01bpa4157";41.38879;2.15899;"Nonprofit";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=2f90ab8f5403be59b356b1f0a06e265bf5024a4e"
"leiden-observatory";"Leiden Observatory";"https://www.universiteitleiden.nl/en/science/astronomy";"Netherlands";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=9873a41a914c44cdd1a65c57e6737966672218ea"
"university-of-bergen";"University of Bergen";"http://www.uib.no/";"Norway";"Bergen";"https://ror.org/03zga2b32";60.39299;5.32415;"Education";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=4afcb9fb6df191e5ee13675aa38882541e77c925"
"powerchainger";"PowerChainger";"https://www.powerchainger.nl/";;;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=009d13d570bf839e9e96413c7d0f3065e03bfed3"
"university-of-melbourne";"University of Melbourne";"http://www.unimelb.edu.au/";"Australia";"Melbourne";"https://ror.org/01ej9dk98";-37.814;144.96332;"Education";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=4f36e247dafc4aa8c2ffb749c21b0a4a5fdc47ed"
"canada-foundation-for-innovation";"Canada Foundation for Innovation";"http://www.innovation.ca/";"Canada";"Ottawa";"https://ror.org/000az4664";45.420441;-75.701319;"Nonprofit";"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=568c1436492b138d2441aad03904ac2605df3d2f"
"ministry-of-defence";"Ministry of Defence";"https://www.defensie.nl/";"Netherlands";"The Hague";"https://ror.org/0079deh61";52.07667;4.29861;"Government";"no";0;0;
